,2247772,,
0,64.99,96,0
0.065856,63.45,96,0
0.125396,59.41,96,0
0.187476,53.06,96,0
0.251396,45.25,96,0
0.31218,37.87,96,0
0.374548,31.22,96,0
0.439624,26.6,96,0
0.500344,25,96,0
0.56426,26.4,96,0
0.628292,30.86,96,0
0.68988,37.17,96,0
0.74978,44.5,96,0
0.81574,52.6,96,0
0.876568,58.96,96,0
0.937632,63.3,96,0
1.000316,65,96,0
1.064668,63.55,96,0
1.12824,59.14,96,0
1.188252,52.94,96,0
1.251384,45.38,96,0
1.3173,37.17,96,0
1.3769,31.04,96,0
1.44074,26.55,96,0
1.50062,25,96,0
1.56326,26.4,96,0
1.628324,30.77,96,-3
1.692412,37.52,96,-2.19
1.752264,44.75,96,-1.55
1.814212,52.48,95.85,-1.17
1.878324,59.05,95.7,-1.07
1.942692,63.55,95.25,-1.18
2.002788,65,94.65,-1.46
2.0647,63.55,93.45,-2.17
2.1283,59.14,91.2,-2.51
2.192156,52.48,87.6,-2.73
2.252008,45.25,82.65,-2.77
2.313784,37.64,75.9,-2.42
2.375948,31.13,67.65,-1.82
2.442568,26.5,57,-0.63
2.563784,26.4,35.7,1.75
2.628644,30.86,25.05,2.99
2.691396,37.29,16.35,3
2.751876,44.87,10.2,3
2.816624,52.71,6.75,3
2.8775,59.05,6.75,3
2.942536,63.55,9.9,2.97
3.003384,65,15.75,1.7
3.067336,63.4,24.75,0.1
3.12954,59.05,35.85,-1.69
3.190504,52.71,47.85,-3
3.252236,45.25,60.15,-3
3.316892,37.29,72.15,-3
3.377408,31.04,82.05,-3
3.441832,26.5,90.15,-3
3.50246,25,94.95,-3
3.568084,26.64,96.3,-3
3.63008,30.95,95.4,-2.83
3.692848,37.52,93.6,-1.73
3.752824,44.87,90.9,-0.92
3.817092,52.83,87.3,-0.07
3.880196,59.23,83.55,0.26
3.940804,63.5,79.95,0.21
4.002452,65,76.95,-0.27
4.069,63.31,74.55,-0.96
4.126916,59.32,72.9,-1.66
4.193684,52.36,71.1,-2.2
4.254304,45,69.15,-2.69
4.3145,37.52,66.45,-2.76
4.379104,30.77,62.55,-2.48
4.440616,26.55,57.75,-1.8
4.50548,25,51.75,-0.71
4.567228,26.55,45.15,0.37
4.628616,30.86,38.55,1.49
4.693768,37.64,32.4,2.49
4.754036,45.12,28.2,2.9
4.8163,52.71,26.1,3
4.877712,59.05,26.55,2.67
4.939636,63.4,29.4,1.75
5.003028,65,34.95,0.56
5.068236,63.36,43.35,-1.03
5.128044,59.23,52.35,-2.42
5.194744,52.25,63,-3
5.255976,44.75,72.15,-3
5.319032,36.94,80.4,-3
5.378036,30.95,86.4,-3
5.443208,26.4,90.45,-3
5.50584,25,91.5,-3
5.566364,26.55,90.6,-3
5.629308,30.95,88.8,-2.26
5.694324,37.75,85.8,-1.09
5.75378,45,82.2,-0.3
5.818072,52.94,77.7,0.44
5.879776,59.23,73.5,0.7
5.94118,63.45,70.05,0.63
6.00352,65,68.1,0.01
6.067476,63.45,67.5,-0.99
6.130988,58.96,67.8,-1.91
6.192916,52.48,68.1,-2.5
6.255572,44.75,67.8,-3
6.319932,36.94,66.75,-3
6.3808,30.68,64.95,-3
6.44194,26.5,62.1,-2.44
6.504836,25,58.2,-1.6
6.569616,26.69,53.4,-0.51
6.629476,30.95,48.3,0.54
6.69524,37.75,43.05,1.55
6.755708,45.38,39.15,2.05
6.817992,52.83,37.05,2.38
6.881508,59.32,37.05,2.05
6.94192,63.5,39.45,1.19
7.006032,65,44.25,0.07
7.068804,63.36,50.85,-1.46
7.131748,58.87,58.8,-2.63
7.1907,52.71,66.3,-3
7.256276,44.75,73.95,-3
7.316468,37.29,79.5,-3
7.379188,30.86,83.4,-3
7.506804,25,84.15,-3
7.566184,26.5,82.2,-2.69
7.629832,30.95,78.75,-1.47
7.692532,37.4,74.25,-0.36
7.754508,45.12,69,0.58
7.81956,52.94,63.75,1.22
7.881136,59.41,59.85,1.36
7.942108,63.5,57.75,0.86
8.0036,65,57.75,0.11
8.067064,63.45,59.4,-0.92
8.129376,59.05,62.1,-2.14
8.194124,52.36,65.1,-2.97
8.255992,44.62,67.5,-3
8.320836,36.83,68.7,-3
8.378724,30.77,68.55,-3
8.44264,26.45,67.35,-3
8.505244,25,64.95,-2.45
8.569008,26.64,61.5,-1.34
8.632136,31.13,57.3,-0.22
8.69434,37.64,52.65,0.94
8.755964,45.25,48.45,1.46
8.820612,53.17,45.6,1.79
8.879768,59.23,44.7,1.62
8.94452,63.64,46.05,1.01
9.007292,65,49.35,-0.09
9.071208,63.2,54.6,-1.47
9.129884,59.05,60.15,-2.47
9.195144,52.13,66.45,-3
9.258168,44.5,71.85,-3
9.32024,36.83,75.75,-3
9.3798,30.77,77.85,-3
9.443732,26.36,78.15,-3
9.50538,25,76.95,-3
9.570808,26.75,74.4,-2.28
9.629188,30.95,70.8,-1.06
9.69608,37.87,65.85,0
9.754952,45.12,61.05,0.95
9.817648,52.83,56.55,1.42
9.881264,59.41,53.4,1.42
9.943104,63.55,52.35,1.01
10.006944,64.99,53.55,-0.02
10.06752,63.41,56.1,-1.12
10.132264,58.78,60,-2.42
10.194904,52.25,63.9,-3
10.255052,44.75,67.2,-3
10.319596,36.94,69.45,-3
10.381504,30.68,70.2,-3
10.44184,26.5,69.6,-3
10.506112,25,67.65,-2.71
10.569792,26.69,64.8,-1.64
10.643224,32.25,60,-0.35
10.707728,39.3,55.2,0.72
10.756784,45.38,51.75,1.31
10.820236,53.17,48.15,1.87
10.88002,59.23,46.5,1.53
10.94372,63.6,46.95,1.03
11.007728,64.99,49.5,-0.01
11.070096,63.25,53.7,-1.4
11.13322,58.78,58.95,-2.52
11.196052,52.13,64.35,-3
11.25634,44.62,68.85,-3
11.320188,36.94,72.45,-3
11.38322,30.42,74.4,-3
11.446104,26.31,74.55,-3
11.524116,25.16,72.45,-2.93
11.583664,27.47,69.45,-1.78
11.647516,32.64,65.25,-0.59
11.708092,39.42,60.3,0.48
11.774332,47.63,55.05,1.4
11.83528,54.85,51.3,1.58
11.89616,60.57,49.05,1.44
11.95862,64.21,48.9,0.79
