Harry,,,,Jack,,,,Daniel,,,
Time,Setpoint,Response,Voltage,Time,Setpoint,Response,Voltage,Time,Setpoint,Response,Voltage
47265052,45,46.95,-0.19,121793320,45,47.1,0.01,71061008,45,64.8,0
47328896,45,46.95,-0.27,121858132,45,47.1,0,71123916,45,63.6,0
47393392,45,47.1,-0.28,121918680,45,47.1,0,71188076,45,62.55,0
47453808,45,46.95,-0.27,121981000,45,47.1,0,71251016,45,61.65,0
47516824,45,47.1,-0.29,122042992,45,47.1,0,71311440,45,61.2,0
47578396,45,46.95,-0.26,122107508,45,47.1,0,71373632,45,60.75,0
47640108,45,46.95,-0.27,122168284,45,47.1,0,71437880,45,60.75,0
47705080,45,46.95,-0.28,122230896,45,47.1,-0.01,71499092,45,60.9,0
47765440,45,47.1,-0.29,122293208,45,47.1,-0.01,71561012,45,61.05,0
47831516,45,46.95,-0.26,122357936,45,47.1,-0.01,71622732,45,61.2,0
47891236,45,47.1,-0.37,122418216,45,47.1,-0.01,71686452,45,61.5,-3
47954544,45,46.95,-0.14,122480240,45,47.1,-0.01,71748388,45,61.5,-0.82
48019076,45,46.95,-0.28,122544164,45,47.1,-0.01,71812316,45,61.2,-0.59
48078556,45,47.1,-0.29,122607724,45,47.1,-0.01,71873116,45,60.45,-0.49
48143344,45,47.1,-0.29,122668692,45,47.1,-0.01,71939008,45,58.5,-0.19
48203696,45,46.95,-0.28,122732680,45,47.1,-0.01,71998240,45,56.1,0
48267176,45,46.95,-0.28,122794828,45,47.1,-0.01,72061224,45,52.8,0.32
48329848,45,46.95,-0.28,122857036,45,47.1,-0.01,72126076,45,49.2,0.6
48390432,45,46.95,-0.28,122918796,45,46.95,0.05,72187484,45,46.2,0.61
48455752,45,46.95,-0.28,122982032,45,46.95,0,72249320,45,44.1,0.53
48516636,45,46.95,-0.28,123043644,45,46.95,0,72313948,45,43.5,0.31
48578648,45,46.95,-0.28,123105468,45,46.95,0,72373060,45,44.55,-0.03
48643632,45,46.95,-0.28,123167464,45,46.95,0,72436404,45,46.65,-0.33
48704756,45,46.95,-0.28,123232452,45,46.95,0,72498228,45,49.5,-0.53
48766028,60,46.95,3,123294976,45,46.95,0,72559988,45,52.35,-0.7
48830752,60,47.25,0.46,123355912,45,46.95,0,72623972,45,54.45,-0.7
48893312,60,47.85,0.5,123417536,45,46.95,0,72685504,45,55.35,-0.53
48953232,60,49.05,0.17,123479468,45,46.95,0,72747352,45,54.75,-0.14
49017548,60,51.3,-0.14,123541756,45,46.95,-0.01,72811876,45,53.1,0.05
49080552,60,54.45,-0.43,123605872,45,46.95,-0.01,72872672,45,50.85,0.23
49144692,60,58.05,-0.72,123668164,45,46.95,-0.01,72936520,45,48.45,0.48
49204536,60,61.65,-0.91,123729580,45,46.95,-0.01,72999008,45,46.65,0.43
49267612,60,64.95,-1.09,123793716,45,46.95,-0.01,73060680,45,45.75,0.26
49329992,60,67.35,-0.95,123854616,45,46.95,-0.01,73122944,45,45.9,0.06
49393652,60,68.7,-0.89,123917212,45,46.95,-0.01,73185764,45,47.1,-0.1
49454292,60,68.55,-0.53,123979460,45,46.95,-0.01,73248104,45,48.75,-0.33
49517796,60,67.65,-0.35,124043748,45,46.95,-0.01,73311688,45,50.55,-0.46
49581676,60,66.15,-0.2,124104460,45,46.8,0.01,73372612,45,52.05,-0.37
